Reaction_ID,Conformer_Index,Conformer_XYZ_Path,Boltzmann_Weight,vbur,percent_vbur,near_vbur,far_vbur,qvbur_min,qvbur_max,max_delta_qvbur,ovbur_min,ovbur_max
SIG-NIHDA-2063,2,conformers/SIG-NIHDA-2063_9978c6ba/conf_002.xyz,0.0006660962,52.34672642,29.14719626,52.34672642,0,10.82834755,15.40912321,4.510840153,0,15.40912321
SIG-NIHDA-2063,3,conformers/SIG-NIHDA-2063_9978c6ba/conf_003.xyz,0.0006660943,52.35838234,29.1536864,52.35838234,0,10.82834755,15.40912321,4.510840153,0,15.40912321
SIG-NIHDA-2063,4,conformers/SIG-NIHDA-2063_9978c6ba/conf_004.xyz,0.0002728954,52.99945781,29.51064382,52.99945781,0,10.89828306,15.68886523,4.767270342,0,15.68886523
SIG-NIHDA-2064,0,conformers/SIG-NIHDA-2064_f0ba08d0/conf_000.xyz,0.3037788134,54.21167326,30.18561786,54.16504958,0.04662367083,10.37376676,17.55381207,7.180045308,0,17.5071884
SIG-NIHDA-2064,1,conformers/SIG-NIHDA-2064_f0ba08d0/conf_001.xyz,0.2272057254,59.65498682,33.2165109,57.23055594,2.424430883,10.80503571,22.34439424,11.53935853,0,19.85002786
SIG-NIHDA-2064,2,conformers/SIG-NIHDA-2064_f0ba08d0/conf_002.xyz,0.2272056954,59.87644926,33.33982347,57.38208287,2.494366389,10.80503571,22.34439424,11.53935853,0,19.85002786
SIG-NIHDA-2064,3,conformers/SIG-NIHDA-2064_f0ba08d0/conf_003.xyz,0.2272056534,59.87644926,33.33982347,57.38208287,2.494366389,10.80503571,22.34439424,11.53935853,0,19.85002786
SIG-NIHDA-2064,4,conformers/SIG-NIHDA-2064_f0ba08d0/conf_004.xyz,0.0027747224,55.64535113,30.98390447,55.51713604,0.1282150948,10.88662714,17.79858634,6.9119592,0,17.79858634
SIG-NIHDA-2064,5,conformers/SIG-NIHDA-2064_f0ba08d0/conf_005.xyz,0.0027747223,55.63369522,30.97741433,55.4938242,0.1398710125,10.88662714,17.79858634,6.9119592,0,17.79858634
SIG-NIHDA-2064,6,conformers/SIG-NIHDA-2064_f0ba08d0/conf_006.xyz,0.0021679815,55.83184582,31.08774663,55.79687806,0.03496775312,10.70013246,18.50959732,7.809464864,0,18.50959732
SIG-NIHDA-2064,7,conformers/SIG-NIHDA-2064_f0ba08d0/conf_007.xyz,0.002167981,55.76191031,31.04880582,55.72694256,0.03496775312,10.70013246,18.50959732,7.809464864,0,18.50959732
SIG-NIHDA-2064,8,conformers/SIG-NIHDA-2064_f0ba08d0/conf_008.xyz,0.0021679806,55.77356623,31.05529595,55.73859848,0.03496775312,10.70013246,18.50959732,7.809464864,0,18.50959732
SIG-NIHDA-2064,9,conformers/SIG-NIHDA-2064_f0ba08d0/conf_009.xyz,0.0021679796,55.83184582,31.08774663,55.79687806,0.03496775312,10.70013246,18.50959732,7.809464864,0,18.50959732
SIG-NIHDA-2064,10,conformers/SIG-NIHDA-2064_f0ba08d0/conf_010.xyz,0.0001913726,54.71287772,30.46469367,54.66625405,0.04662367083,10.64185287,16.94770435,5.629808253,0,16.91273659
SIG-NIHDA-2064,11,conformers/SIG-NIHDA-2064_f0ba08d0/conf_011.xyz,0.0001913725,54.66625405,30.43873313,54.61963038,0.04662367083,10.64185287,16.94770435,5.629808253,0,16.91273659
SIG-NIHDA-2067,0,conformers/SIG-NIHDA-2067_1f828bfa/conf_000.xyz,0.2900390474,81.69632721,45.48935618,64.07257964,17.62374757,11.35286385,37.1240979,23.05540522,0,21.8548457
SIG-NIHDA-2067,1,conformers/SIG-NIHDA-2067_1f828bfa/conf_001.xyz,0.290039045,81.69632721,45.48935618,64.07257964,17.62374757,11.35286385,37.13575381,23.05540522,0,21.8548457
SIG-NIHDA-2067,2,conformers/SIG-NIHDA-2067_1f828bfa/conf_002.xyz,0.1524090345,80.05284281,44.57424714,64.02595596,16.02688685,10.7933798,34.61807559,23.82469579,0,22.08796405
SIG-NIHDA-2067,3,conformers/SIG-NIHDA-2067_1f828bfa/conf_003.xyz,0.1524083691,80.05284281,44.57424714,64.02595596,16.02688685,10.7933798,34.60641967,23.81303988,0,22.08796405
SIG-NIHDA-2067,4,conformers/SIG-NIHDA-2067_1f828bfa/conf_004.xyz,0.1009920907,76.42785241,42.55581516,63.16341805,13.26443435,10.90993897,34.85119394,22.46095342,0,21.92478121
SIG-NIHDA-2067,5,conformers/SIG-NIHDA-2067_1f828bfa/conf_005.xyz,0.0074391553,67.68591412,37.68821391,62.58062217,5.105291956,11.03815407,26.61046013,14.12697226,0,21.47020042
SIG-NIHDA-2067,6,conformers/SIG-NIHDA-2067_1f828bfa/conf_006.xyz,0.0043228681,69.01468874,38.4280893,63.22169764,5.7929911,11.14305733,27.34478294,15.82873625,0,22.02968447
SIG-NIHDA-2067,7,conformers/SIG-NIHDA-2067_1f828bfa/conf_007.xyz,0.0012317496,67.09146232,37.35721703,63.09348255,3.997979774,10.97987448,24.69888962,13.71901514,0,20.70090985
SIG-NIHDA-2067,8,conformers/SIG-NIHDA-2067_1f828bfa/conf_008.xyz,0.0006865462,81.85951006,45.58021807,69.55086096,12.3086491,10.90993897,30.88818192,18.07832836,0,22.30942649
SIG-NIHDA-2067,9,conformers/SIG-NIHDA-2067_1f828bfa/conf_009.xyz,0.000250862,61.79967568,34.41069574,61.49662182,0.3030538604,11.16636916,19.27888789,8.112518724,0,18.98748994
SIG-NIHDA-2067,10,conformers/SIG-NIHDA-2067_1f828bfa/conf_010.xyz,0.000181232,81.39327335,45.32061267,63.51309559,17.88017776,10.95656264,36.96091505,26.0043524,0,21.21377023
