Reaction_ID,Conformer_Index,Conformer_XYZ_Path,Boltzmann_Weight,vbur,percent_vbur,qvbur_min,qvbur_max,max_delta_qvbur,ovbur_min,ovbur_max,near_vbur,far_vbur,Coordination_Center_Method,Coordination_Center_X,Coordination_Center_Y,Coordination_Center_Z
SIG-NIHDA-785,1,785/conf_001.xyz,0.5,46.30896,25.785307,9.0449915,15.665552,6.6205606,0.0,15.665552,46.30896,0.0,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1057,0,1057/conf_000.xyz,0.2,91.79035,51.109814,12.13381,39.96814,24.0345,0.0,21.656694,66.24058,25.54977,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1057,1,1057/conf_001.xyz,0.2,77.989746,43.425495,12.180434,32.531666,16.32994,0.0,21.202114,65.051674,12.938068,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1057,2,1057/conf_002.xyz,0.2,91.778694,51.10332,12.13381,39.96814,24.022846,0.0,21.656694,66.22892,25.54977,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1057,3,1057/conf_003.xyz,0.2,85.92742,47.845276,12.19209,36.611237,21.878159,0.0,21.062243,65.657776,20.269642,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1057,4,1057/conf_004.xyz,0.2,77.05727,42.90628,12.098842,31.564222,16.120132,0.0,20.934027,64.841866,12.215401,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1058,0,1058/conf_000.xyz,0.07142857,80.029526,44.561264,11.143057,33.638977,22.49592,0.0,20.747534,64.59709,15.432434,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1058,1,1058/conf_001.xyz,0.07142857,90.85788,50.590607,14.523273,38.452873,23.9296,0.0,21.050587,68.7466,22.111275,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1058,2,1058/conf_002.xyz,0.07142857,86.04398,47.91018,14.6981125,32.077087,16.178415,0.0,21.400265,72.96604,13.07794,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1058,3,1058/conf_003.xyz,0.07142857,85.13482,47.403942,14.61652,32.764782,16.52809,0.0,21.21377,70.83301,14.30181,geometric_opposed_substituent_vector,,,
