ligand,file,geometries,conformers,donor_element,donor_index,substituents,sterimol_l,sterimol_b1,sterimol_b5,percent_buried_volume,buried_volume,qvbur_min,qvbur_max,max_delta_qvbur,max_delta_qvbur_min,pyr_p,pyr_alpha
1,.stericx/kraken_dft_cache/1/31676.sdf,30,30,P,16,C C C,6.9638,4.2632,9.7629,53.3015,95.7266,13.3950,36.6987,20.2646,2.6925,0.9126,20.2915
10,.stericx/kraken_dft_cache/10/31858.sdf,25,25,P,4,C C C,6.1962,3.4147,7.0326,36.0857,64.8078,13.0425,20.1908,6.7954,2.7741,0.8785,24.3564
100,.stericx/kraken_dft_cache/100/33519.sdf,7,7,P,16,C C C,6.9461,3.9102,7.1485,56.5040,101.4781,11.5577,44.1027,29.5910,29.1165,0.9500,15.3130
1000,.stericx/kraken_dft_cache/1000/48782.sdf,34,34,P,4,N N N,5.9447,2.9891,6.1137,33.1356,59.5096,12.6035,17.1400,4.2362,2.9606,0.9137,19.1199
1001,.stericx/kraken_dft_cache/1001/48816.sdf,34,34,P,4,N N N,6.2505,3.0501,6.2747,33.1027,59.4507,12.5466,17.1239,4.4299,3.0072,0.9122,19.3093
1002,.stericx/kraken_dft_cache/1002/48850.sdf,20,20,P,4,N C C,6.0743,3.0056,6.7496,34.3539,61.6977,11.8750,20.0861,7.5606,2.6109,0.9305,18.0847
1003,.stericx/kraken_dft_cache/1003/48870.sdf,14,14,P,3,C C C,9.0732,3.0828,5.8968,34.4844,61.9320,11.3379,20.5935,8.7977,4.0912,0.9051,21.3524
1004,.stericx/kraken_dft_cache/1004/48884.sdf,6,6,P,8,C C C,9.0952,1.9425,5.8623,30.3998,54.5963,9.9231,17.0953,6.7468,5.6881,0.9190,19.1340
1005,.stericx/kraken_dft_cache/1005/48890.sdf,19,19,P,3,C C B,4.8351,2.7765,9.0724,32.5897,58.5293,11.3259,18.3298,6.4506,3.1238,0.8952,22.5059
1006,.stericx/kraken_dft_cache/1006/48909.sdf,6,6,P,8,C C B,4.6739,2.7983,8.4213,29.0661,52.2010,10.0746,15.9841,5.8882,4.5342,0.9131,19.8394
1007,.stericx/kraken_dft_cache/1007/48915.sdf,18,18,P,3,C C Si,4.8738,2.7238,5.6855,31.6985,56.9288,11.6462,16.2697,4.0990,3.0422,0.8868,23.4938
1008,.stericx/kraken_dft_cache/1008/48933.sdf,6,6,P,4,C C Si,4.7345,2.7145,5.7103,31.5193,56.6070,10.8283,19.2886,8.4292,7.2849,0.8898,22.6205
1009,.stericx/kraken_dft_cache/1009/48939.sdf,3,3,P,9,F O O,3.3847,1.4700,6.8431,24.6647,44.2964,8.7808,13.9754,5.1053,0.9674,0.9545,13.9473
101,.stericx/kraken_dft_cache/101/33526.sdf,14,14,P,16,C C C,6.9367,3.7919,9.6499,53.3308,95.7792,11.7050,39.2155,22.6616,4.0329,0.9424,16.1270
1011,.stericx/kraken_dft_cache/1011/48942.sdf,2,2,P,4,F C C,3.1525,2.0104,5.0886,31.0813,55.8202,9.6977,16.8661,7.0518,7.0518,0.9087,20.2887
1012,.stericx/kraken_dft_cache/1012/48944.sdf,3,3,P,1,F C C,3.1446,1.4700,6.8740,25.2272,45.3065,9.0295,14.7137,5.4589,5.4550,0.9566,14.2748
1013,.stericx/kraken_dft_cache/1013/48947.sdf,3,3,P,1,F C C,3.1739,1.4700,5.2012,24.6539,44.2769,9.0528,14.6981,5.4355,4.5108,0.9602,13.3229
1015,.stericx/kraken_dft_cache/1015/48950.sdf,7,7,P,5,B B B,7.0384,2.1487,6.8845,26.6522,47.8659,11.2080,12.9181,1.6435,1.0024,0.9214,19.1207
1016,.stericx/kraken_dft_cache/1016/48957.sdf,20,20,P,7,C C B,6.9672,2.8239,6.8371,36.7991,66.0890,12.7900,19.9509,6.9067,4.0213,0.8835,23.9472
1017,.stericx/kraken_dft_cache/1017/48977.sdf,8,8,P,12,B B B,9.2618,2.4023,9.3172,25.8462,46.4182,11.0513,12.1498,0.8917,0.8509,0.9502,15.2017
1018,.stericx/kraken_dft_cache/1018/48985.sdf,10,10,P,7,C C B,6.9674,2.3252,6.8870,30.1791,54.2000,10.9053,16.0572,4.3919,4.0912,0.9142,20.4272
1019,.stericx/kraken_dft_cache/1019/48995.sdf,32,32,P,29,N N B,6.0251,3.1838,8.0290,53.0015,95.1877,14.7458,37.6115,20.8189,12.2037,0.8824,23.7381
102,.stericx/kraken_dft_cache/102/33540.sdf,36,36,P,9,C C C,7.7162,4.7045,9.7225,56.7218,101.8692,15.0018,36.4461,18.7262,5.5132,0.8969,22.3160
1020,.stericx/kraken_dft_cache/1020/49027.sdf,31,31,P,20,N N B,6.5288,4.8196,8.1498,69.7627,125.2898,23.8364,40.4186,14.7989,4.1728,0.9276,17.4573
1021,.stericx/kraken_dft_cache/1021/49058.sdf,40,40,P,29,C C B,6.9618,3.1746,8.0568,52.8896,94.9867,11.6679,40.0722,24.4189,14.5000,0.8801,24.3400
1022,.stericx/kraken_dft_cache/1022/49098.sdf,3,3,P,8,C C C,6.9430,3.2150,8.1912,35.4491,63.6646,11.6093,20.9185,9.1732,7.7162,0.9923,5.8775
1023,.stericx/kraken_dft_cache/1023/49101.sdf,8,8,P,17,C C C,6.9448,3.1104,8.2031,34.5437,62.0386,11.8468,19.2672,7.2325,6.9003,0.9921,5.9519
1024,.stericx/kraken_dft_cache/1024/49109.sdf,13,13,P,24,C C C,6.9450,3.3159,8.2140,36.5984,65.7286,11.2623,21.1304,9.5659,7.6346,0.9926,5.7471
1025,.stericx/kraken_dft_cache/1025/49122.sdf,27,27,P,22,N N C,6.4563,3.6431,8.9337,43.2241,77.6280,10.7735,27.7467,15.7156,7.9960,0.9749,10.0676
1026,.stericx/kraken_dft_cache/1026/49149.sdf,10,10,P,4,N N N,7.1985,3.9935,7.8430,33.5215,60.2028,11.4088,20.4142,8.6662,4.0796,0.9407,16.6084
1027,.stericx/kraken_dft_cache/1027/49159.sdf,1,1,P,10,N N N,7.3234,4.3847,7.3430,33.5410,60.2378,13.1362,16.9710,3.8348,3.8348,0.9918,6.0808
1028,.stericx/kraken_dft_cache/1028/49160.sdf,10,10,P,3,O O O,4.7365,1.5200,4.8416,22.9459,41.2095,8.7874,13.9976,5.1927,1.3288,0.9542,14.0335
1029,.stericx/kraken_dft_cache/1029/49170.sdf,19,19,P,5,N O O,5.1597,2.4334,4.6605,26.1453,46.9556,8.9297,18.8906,9.8818,8.0892,0.9374,16.2238
103,.stericx/kraken_dft_cache/103/33576.sdf,15,15,P,0,C C C,7.1508,4.5630,9.7574,58.5250,105.1076,15.7199,36.5677,18.6036,10.1057,0.7906,33.0768
1031,.stericx/kraken_dft_cache/1031/49189.sdf,1,1,P,4,O O O,3.9969,1.5200,5.4310,20.0740,36.0518,8.6603,9.4180,0.6994,0.6994,0.9833,8.0828
1032,.stericx/kraken_dft_cache/1032/49190.sdf,1,1,P,8,N N N,4.6634,2.7628,5.8389,28.6734,51.4958,11.5044,14.3135,1.6085,1.6085,0.9642,12.9249
1033,.stericx/kraken_dft_cache/1033/49191.sdf,1,1,P,5,N N N,6.0761,2.7331,6.0756,25.0000,44.8986,10.4204,12.0289,1.6085,1.6085,0.9922,5.9135
1034,.stericx/kraken_dft_cache/1034/49192.sdf,34,34,P,8,N N N,9.8627,3.8533,10.5198,27.1656,48.7879,10.6206,13.8520,2.4498,1.2588,0.9610,13.4251
1035,.stericx/kraken_dft_cache/1035/49226.sdf,49,49,P,8,N N C,9.6811,3.7059,10.3330,27.5343,49.4501,10.2808,14.5373,4.1464,2.6575,0.9460,15.9749
1036,.stericx/kraken_dft_cache/1036/47970.sdf,22,22,P,5,O N N,6.0370,2.5964,6.1614,27.7592,49.8539,10.1067,15.5469,5.4142,4.8838,0.9568,13.8184
1037,.stericx/kraken_dft_cache/1037/49286.sdf,55,55,P,9,N N N,6.5852,4.5822,7.2207,49.3539,88.6369,16.4772,27.6563,10.5488,1.6318,0.9070,20.8847
1038,.stericx/kraken_dft_cache/1038/49341.sdf,10,10,P,17,N N N,5.9346,4.8178,6.8320,51.7179,92.8825,17.4384,29.2727,11.6070,2.0165,0.8886,23.2369
1039,.stericx/kraken_dft_cache/1039/49351.sdf,2,2,P,16,N N N,6.7144,4.0773,7.3146,39.9825,71.8063,15.8462,20.0715,3.3161,3.3103,0.9458,16.0441
104,.stericx/kraken_dft_cache/104/33591.sdf,32,32,P,9,C C C,7.5776,4.8960,9.3199,46.5164,83.5409,11.5324,30.7847,16.6192,6.3525,0.8954,22.3226
1040,.stericx/kraken_dft_cache/1040/49353.sdf,10,10,P,18,N N C,6.2308,4.3888,8.3234,35.8950,64.4654,11.0102,21.4644,10.3609,3.7532,0.9650,12.7164
1041,.stericx/kraken_dft_cache/1041/49363.sdf,31,31,P,14,N N N,5.7301,4.1187,6.5603,40.1852,72.1704,14.5556,22.3993,7.3026,1.3871,0.9635,13.0220
1042,.stericx/kraken_dft_cache/1042/49394.sdf,21,21,P,7,N C C,5.4854,3.8678,8.2868,35.3576,63.5003,11.3246,23.0793,11.0765,7.2616,0.9012,21.8312
1043,.stericx/kraken_dft_cache/1043/49415.sdf,6,6,P,8,N C C,6.7592,3.6837,5.6382,39.5174,70.9709,14.0551,24.7086,9.9231,6.1660,0.8781,24.1455
1044,.stericx/kraken_dft_cache/1044/49421.sdf,11,11,P,4,N C C,5.5780,2.9044,6.8623,29.7520,53.4328,10.8400,16.4507,5.3554,2.2379,0.9355,17.3859
1045,.stericx/kraken_dft_cache/1045/49432.sdf,5,5,P,5,C C C,7.7927,2.6149,6.8751,28.3995,51.0040,11.2503,14.4370,2.0375,2.0281,0.9309,18.2407
1046,.stericx/kraken_dft_cache/1046/49437.sdf,4,4,P,8,C C C,11.2976,2.6374,6.8642,28.2532,50.7411,11.5160,13.8647,1.2909,1.2822,0.9321,18.0689
1047,.stericx/kraken_dft_cache/1047/49441.sdf,2,2,P,10,N N N,4.7010,2.4785,5.2548,27.3689,49.1530,10.1640,13.9113,2.9664,1.4337,0.9635,12.8069
1048,.stericx/kraken_dft_cache/1048/49443.sdf,8,8,P,8,C C C,6.9592,2.1251,7.9766,27.9822,50.2545,10.8997,14.4300,3.3802,2.5526,0.9379,17.2326
1049,.stericx/kraken_dft_cache/1049/49451.sdf,21,21,P,13,O O N,7.7456,2.7847,9.6274,32.2127,57.8522,10.2533,22.4077,11.9962,9.6278,0.9436,15.7334
105,.stericx/kraken_dft_cache/105/33623.sdf,9,9,P,9,C C C,7.5701,4.1244,9.7158,53.8205,96.6586,12.3268,36.8003,21.0078,8.7070,0.9093,20.6316
1050,.stericx/kraken_dft_cache/1050/49472.sdf,3,3,P,7,O O N,5.9452,1.5200,7.1911,24.8183,44.5722,9.0333,13.8589,4.8256,4.8256,0.9495,14.9645
1051,.stericx/kraken_dft_cache/1051/49475.sdf,11,11,P,7,O N O,6.7306,2.2834,7.3877,31.9002,57.2910,8.8998,27.0131,17.3016,6.9120,0.9507,15.1893
1052,.stericx/kraken_dft_cache/1052/49486.sdf,2,2,P,13,O O N,6.9734,1.5200,7.5160,27.6967,49.7416,8.9168,21.1089,11.8191,10.7701,0.9532,14.8391
1053,.stericx/kraken_dft_cache/1053/49488.sdf,5,5,P,16,O N O,6.9693,1.5200,7.5338,27.8518,50.0202,8.8981,21.3373,12.1245,10.6768,0.9536,14.7636
1054,.stericx/kraken_dft_cache/1054/49493.sdf,22,22,P,18,O O N,6.9708,1.5455,8.2309,28.0415,50.3610,8.8998,21.5041,12.2668,9.3947,0.9541,14.6896
1055,.stericx/kraken_dft_cache/1055/49515.sdf,3,3,P,16,O O N,6.9761,1.5200,7.5509,28.7362,51.6085,8.9401,23.0166,13.3849,13.3810,0.9523,14.9936
1056,.stericx/kraken_dft_cache/1056/49518.sdf,2,2,P,16,O O N,6.9690,1.5356,7.5336,31.0423,55.7503,8.9634,26.5522,16.9127,16.9127,0.9519,15.0659
1057,.stericx/kraken_dft_cache/1057/49520.sdf,5,5,P,16,C C C,6.8815,3.7773,7.3331,47.2780,84.9087,12.1478,36.1287,20.4771,16.1201,0.9539,13.9847
1058,.stericx/kraken_dft_cache/1058/49525.sdf,14,14,P,16,C C C,6.8809,4.1647,7.3372,48.2885,86.7234,13.6324,35.0618,19.5237,15.3508,0.9449,15.0491
1059,.stericx/kraken_dft_cache/1059/49539.sdf,2,2,P,11,C C C,6.9708,2.8847,8.6844,28.8162,51.7523,11.7608,14.1153,2.3545,2.3545,0.9628,13.1863
106,.stericx/kraken_dft_cache/106/33632.sdf,13,13,P,24,C C C,7.0518,4.0507,9.7533,54.0733,97.1126,12.8457,36.9313,20.0338,8.2990,0.9072,20.9567
1060,.stericx/kraken_dft_cache/1060/49541.sdf,1,1,P,7,C C C,5.4949,1.7973,9.0800,22.2352,39.9332,9.5928,10.3854,0.7809,0.7809,0.9526,14.9520
1061,.stericx/kraken_dft_cache/1061/49542.sdf,1,1,P,21,C C C,7.8873,5.3234,10.0591,27.2131,48.8733,10.9216,13.8939,2.4594,2.4594,0.9546,14.5926
1063,.stericx/kraken_dft_cache/1063/49543.sdf,32,32,P,10,N C C,7.8702,3.6642,6.3049,44.2199,79.4165,11.3223,35.8500,22.6802,18.1716,0.9414,16.5029
1064,.stericx/kraken_dft_cache/1064/49575.sdf,36,36,P,10,N N C,7.7588,3.8211,7.8518,54.4486,97.7867,12.0827,39.4520,25.5342,20.1414,0.9509,14.8831
1065,.stericx/kraken_dft_cache/1065/49611.sdf,33,33,P,10,N N N,7.7222,4.7623,7.7745,56.3682,101.2341,15.4261,36.1690,20.4021,2.2263,0.9489,15.3239
1066,.stericx/kraken_dft_cache/1066/49644.sdf,30,30,P,23,N C C,7.9893,4.3175,7.8410,56.7181,101.8626,12.3055,43.2240,26.2472,23.9179,0.9382,16.9248
1067,.stericx/kraken_dft_cache/1067/49674.sdf,14,14,P,23,N N C,8.0989,5.0265,9.3354,79.4759,142.7342,21.9489,43.3450,20.9757,12.3786,0.9621,12.9500
1068,.stericx/kraken_dft_cache/1068/49688.sdf,8,8,P,23,N C C,8.0968,4.7480,8.0035,63.3778,113.8229,14.1634,44.3945,25.1433,24.6056,0.9163,19.7362
1069,.stericx/kraken_dft_cache/1069/49696.sdf,42,42,P,30,N C C,8.0660,4.5920,7.4456,63.9873,114.9176,14.4328,43.9678,24.2526,22.1229,0.9382,16.9531
107,.stericx/kraken_dft_cache/107/33645.sdf,20,20,P,5,C C C,5.7633,3.6499,6.8067,38.9356,69.9262,12.4386,24.1027,11.3814,9.4763,0.9190,19.6367
1070,.stericx/kraken_dft_cache/1070/49738.sdf,24,24,P,30,N C C,8.0240,4.6364,7.4062,66.6004,119.6106,15.2051,43.6500,24.3424,22.3560,0.9144,19.9878
1071,.stericx/kraken_dft_cache/1071/49762.sdf,32,32,P,30,N C C,7.9952,4.6543,7.4434,64.2235,115.3419,13.6549,43.1750,24.3885,9.8842,0.9387,16.7665
1072,.stericx/kraken_dft_cache/1072/49794.sdf,28,28,P,10,N C C,7.8195,3.7290,6.8739,38.2886,68.7641,9.9013,31.4989,21.2904,16.7146,0.9478,15.6040
1073,.stericx/kraken_dft_cache/1073/49822.sdf,20,20,P,6,N C C,7.7673,4.1636,7.9077,51.0508,91.6843,14.3945,34.1629,19.3115,9.8492,0.9001,21.9363
1074,.stericx/kraken_dft_cache/1074/49842.sdf,16,16,P,10,N C C,7.8330,3.8225,7.4742,44.9004,80.6386,11.1219,34.7652,22.4967,12.7283,0.9417,16.2381
1075,.stericx/kraken_dft_cache/1075/49858.sdf,9,9,P,6,C C C,8.1676,2.6647,8.3121,28.6648,51.4803,11.4552,14.3135,1.7600,1.2705,0.9314,18.1745
1076,.stericx/kraken_dft_cache/1076/49867.sdf,23,23,P,5,C C C,7.0176,2.8675,6.8888,31.4261,56.4395,11.1502,17.0790,5.5877,1.5386,0.9236,19.1593
108,.stericx/kraken_dft_cache/108/33665.sdf,1,1,P,8,C C C,6.9249,3.4720,6.5028,48.6565,87.3844,19.6985,24.3725,3.3103,3.3103,0.7508,36.9100
1083,.stericx/kraken_dft_cache/1083/49890.sdf,5,5,P,1,C C C,6.9379,2.7881,7.1266,39.4029,70.7654,10.6792,31.2379,20.5074,5.4783,0.9125,20.4453
1084,.stericx/kraken_dft_cache/1084/49895.sdf,34,34,P,4,C C C,6.9949,3.6402,7.3688,48.6382,87.3515,12.6964,37.2050,21.9669,3.5667,0.9141,20.3368
1085,.stericx/kraken_dft_cache/1085/49929.sdf,16,16,P,4,C C C,6.9805,3.4728,7.4706,46.4105,83.3507,12.2358,34.3922,20.9129,8.2990,0.9024,21.7403
1086,.stericx/kraken_dft_cache/1086/49945.sdf,16,16,P,4,C C C,6.9871,3.8804,7.3426,48.2521,86.6581,13.9004,35.6474,20.3279,3.9980,0.8832,23.8950
1087,.stericx/kraken_dft_cache/1087/49961.sdf,12,12,P,3,C C C,6.9849,3.6190,7.3651,45.3623,81.4681,13.5986,34.3568,19.7024,4.0912,0.8808,24.1856
1088,.stericx/kraken_dft_cache/1088/49973.sdf,21,21,P,4,C C C,6.9853,4.0946,7.8680,58.5608,105.1719,14.7175,39.7161,22.4493,10.7934,0.9129,20.4833
1089,.stericx/kraken_dft_cache/1089/49994.sdf,15,15,P,4,C C C,6.5948,3.7009,6.9575,51.9622,93.3212,13.3204,37.4971,22.1890,14.0687,0.9069,21.2205
109,.stericx/kraken_dft_cache/109/33666.sdf,17,17,P,3,C C C,6.9842,3.4030,7.3625,43.3159,77.7930,11.9494,33.3757,19.5792,3.3452,0.9083,20.9443
1090,.stericx/kraken_dft_cache/1090/50009.sdf,3,3,P,12,C C C,6.9998,4.2664,8.4104,56.8536,102.1058,15.5101,41.7670,23.7548,23.7081,0.8622,26.3376
1091,.stericx/kraken_dft_cache/1091/50012.sdf,7,7,P,4,C C C,6.9662,3.2487,6.9085,44.5168,79.9496,12.2704,34.6197,20.1398,4.1495,0.8959,22.4460
1092,.stericx/kraken_dft_cache/1092/50019.sdf,8,8,P,7,C C C,6.9786,3.0468,6.9387,44.0672,79.1422,12.4412,30.2413,15.9482,10.0241,0.8824,23.8787
1093,.stericx/kraken_dft_cache/1093/50027.sdf,13,13,P,6,C C C,9.0413,3.2759,6.9534,43.4495,78.0328,12.0379,33.9205,21.0560,14.8496,0.9010,21.9158
1094,.stericx/kraken_dft_cache/1094/50040.sdf,7,7,P,4,C C C,8.2551,3.2530,6.8417,42.3778,76.1081,12.0372,31.6974,17.7303,3.7532,0.8972,22.2479
1095,.stericx/kraken_dft_cache/1095/50047.sdf,13,13,P,4,C C C,6.9840,3.3960,7.3047,53.4078,95.9174,12.6727,37.3312,21.3178,16.3183,0.8793,24.1747
1096,.stericx/kraken_dft_cache/1096/50060.sdf,17,17,P,8,C C C,6.9541,3.2984,6.7674,39.0065,70.0534,12.2476,24.5775,11.3158,4.4759,0.9144,20.2780
1097,.stericx/kraken_dft_cache/1097/50077.sdf,16,16,P,8,C C C,6.9477,3.2275,6.8576,41.2168,74.0231,12.6897,26.5507,11.6049,6.0611,0.9190,19.6024
1098,.stericx/kraken_dft_cache/1098/50093.sdf,31,31,P,9,C C C,6.9715,4.0247,6.9121,55.2331,99.1956,18.2047,31.6530,12.5922,3.1821,0.9240,19.0377
1099,.stericx/kraken_dft_cache/1099/50124.sdf,40,40,P,11,N O O,5.5399,4.2517,9.2126,40.1304,72.0720,10.4912,25.1488,13.2965,10.7351,0.9209,18.4981
11,.stericx/kraken_dft_cache/11/31883.sdf,25,25,P,4,C C C,6.7598,3.2835,6.8686,34.2705,61.5479,11.9678,19.7517,6.7987,1.3987,0.9151,20.1672
110,.stericx/kraken_dft_cache/110/33683.sdf,5,5,P,4,Si Si Si,5.3997,3.1685,5.6861,32.4117,58.2096,13.5209,15.3648,1.2192,1.2006,0.8928,23.0703
1100,.stericx/kraken_dft_cache/1100/50164.sdf,4,4,P,5,O O C,5.8074,3.3314,5.7687,40.4384,72.6251,12.6088,22.8660,10.0940,8.9634,0.9471,14.8928
1101,.stericx/kraken_dft_cache/1101/50168.sdf,25,25,P,11,O O C,7.2947,3.4135,9.0296,34.2116,61.4421,10.6819,23.2615,11.7632,7.5181,0.9273,17.8446
1102,.stericx/kraken_dft_cache/1102/50193.sdf,1,1,P,4,O O C,6.6939,1.8466,8.6258,27.8621,50.0389,10.1989,15.2926,4.3593,4.3593,0.9341,17.3331
1103,.stericx/kraken_dft_cache/1103/50194.sdf,8,8,P,4,N N C,7.1269,3.3017,6.9124,39.5752,71.0749,12.6496,22.9898,10.3053,4.7090,0.9040,21.6400
1104,.stericx/kraken_dft_cache/1104/50202.sdf,13,13,P,4,N N C,6.0634,2.7769,5.7356,31.9794,57.4332,11.4865,16.2887,4.0132,3.4618,0.9110,20.7841
1105,.stericx/kraken_dft_cache/1105/50215.sdf,47,47,P,5,N N C,5.6069,3.2758,5.6813,38.5024,69.1481,13.7580,21.2294,6.4869,3.0888,0.8888,23.1231
1106,.stericx/kraken_dft_cache/1106/50262.sdf,17,17,P,4,N N C,6.5371,3.1940,6.1135,35.5007,63.7572,12.8489,19.7609,6.0638,3.0422,0.8994,21.8247
1107,.stericx/kraken_dft_cache/1107/50279.sdf,43,43,P,5,N N C,5.5149,3.2019,5.7693,35.1246,63.0818,12.1100,19.6538,6.4243,3.3103,0.9038,21.3017
1108,.stericx/kraken_dft_cache/1108/50322.sdf,30,30,P,4,C C C,6.6741,3.2919,6.7191,35.8868,64.4506,12.9357,20.4320,6.7426,2.9140,0.8953,22.4109
1109,.stericx/kraken_dft_cache/1109/50352.sdf,19,19,P,7,C C C,6.5943,3.2139,6.7931,40.4209,72.5937,12.7068,25.9031,12.8393,5.6065,0.8912,23.0334
111,.stericx/kraken_dft_cache/111/33688.sdf,24,24,P,7,C C C,6.1840,4.3835,8.5232,49.8721,89.5675,15.5033,28.6187,11.9886,2.1447,0.9358,17.3381
1110,.stericx/kraken_dft_cache/1110/50371.sdf,30,30,P,4,C C C,6.6553,3.0852,6.8207,36.7805,66.0556,12.0782,22.5196,9.5400,5.5249,0.9092,20.7855
1111,.stericx/kraken_dft_cache/1111/50401.sdf,21,21,P,4,C C C,6.9485,3.2443,7.9681,41.7473,74.9759,13.0013,27.0728,13.4581,8.1358,0.9135,20.3519
1112,.stericx/kraken_dft_cache/1112/50422.sdf,12,12,P,4,C C C,6.6245,3.2257,6.9306,40.4665,72.6756,12.8137,25.5031,12.3883,5.6182,0.8916,22.9714
1113,.stericx/kraken_dft_cache/1113/50434.sdf,14,14,P,4,C C C,6.8780,3.5291,6.8203,49.9606,89.7264,13.4493,40.3836,26.1659,14.6515,0.8954,22.5611
1114,.stericx/kraken_dft_cache/1114/50448.sdf,17,17,P,4,C C C,6.6462,3.2025,8.2444,34.6871,62.2961,12.1228,20.8545,8.3415,3.7998,0.9009,21.9041
1115,.stericx/kraken_dft_cache/1115/50465.sdf,22,22,P,6,C C C,6.5436,3.1599,8.7003,34.9128,62.7014,12.7060,19.8172,6.7599,3.9863,0.8947,22.7140
1118,.stericx/kraken_dft_cache/1118/50487.sdf,27,27,P,24,C C C,7.1615,4.6262,9.7450,50.5634,90.8091,13.7807,32.4967,16.1935,5.2801,0.8862,23.5326
1119,.stericx/kraken_dft_cache/1119/50514.sdf,33,33,P,14,C C C,6.9910,3.7498,11.2057,47.6964,85.6600,13.3061,34.6813,20.0623,3.3336,0.9218,19.2257
1121,.stericx/kraken_dft_cache/1121/50547.sdf,25,25,P,7,C C C,7.9677,4.3471,9.5120,64.7409,116.2710,15.6283,41.6154,21.9425,5.8862,0.8748,24.8584
1122,.stericx/kraken_dft_cache/1122/50572.sdf,32,32,P,12,C C C,6.9821,3.9494,8.3424,48.9076,87.8354,13.4396,34.6239,18.7085,2.3428,0.9083,20.8747
1127,.stericx/kraken_dft_cache/1127/50604.sdf,8,8,P,11,C C C,6.9556,2.9050,7.4364,35.5781,63.8963,11.5700,27.4191,15.1818,14.8729,0.8921,23.1494
1128,.stericx/kraken_dft_cache/1128/50612.sdf,12,12,P,22,C C C,7.4203,3.1467,11.2457,29.6956,53.3316,11.0255,16.3057,5.0237,3.8581,0.9202,19.5923
1129,.stericx/kraken_dft_cache/1129/50624.sdf,23,23,P,16,C C C,6.9343,2.8946,6.9360,45.7687,82.1980,10.1341,37.0156,23.4107,4.3477,0.9494,15.1730
113,.stericx/kraken_dft_cache/113/33712.sdf,10,10,P,9,C C C,5.5498,3.8166,7.3974,49.8566,89.5396,18.4840,26.9380,8.0414,2.3079,0.8069,31.8279
1130,.stericx/kraken_dft_cache/1130/50647.sdf,5,5,P,7,C C C,6.9335,2.0851,7.1939,34.5574,62.0631,10.3738,27.5686,16.1761,15.9686,0.9268,18.6360
1131,.stericx/kraken_dft_cache/1131/50652.sdf,5,5,P,8,C C C,3.5700,1.7528,5.4455,25.3141,45.4627,10.0311,12.8611,2.8301,2.2612,1.0016,4.4368
1132,.stericx/kraken_dft_cache/1132/50657.sdf,6,6,P,8,C C C,3.5695,1.7528,5.3990,25.4262,45.6640,10.0688,12.9225,2.8538,2.2612,0.9855,6.9323
1136,.stericx/kraken_dft_cache/1136/50663.sdf,5,5,P,8,C C C,6.9838,3.5525,5.5040,40.0714,71.9660,13.9498,24.4401,10.4437,6.5040,0.8567,26.7216
1137,.stericx/kraken_dft_cache/1137/50668.sdf,4,4,P,8,C C C,6.9834,3.9814,7.0367,40.3200,72.4124,14.0891,24.5066,10.2922,6.7954,0.8521,27.1674
1138,.stericx/kraken_dft_cache/1138/50672.sdf,5,5,P,9,C C C,6.9843,3.4670,5.5682,38.3191,68.8189,13.5512,21.9691,8.4179,6.5506,0.8485,27.5372
1139,.stericx/kraken_dft_cache/1139/50677.sdf,5,5,P,12,C C C,7.5337,3.6484,5.5691,38.8227,69.7234,13.5442,22.4656,8.9214,6.6322,0.8589,26.4471
114,.stericx/kraken_dft_cache/114/33722.sdf,4,4,P,5,C C C,7.4740,2.5086,6.8683,28.2597,50.7528,11.5160,13.9696,1.4104,1.4104,0.9326,18.0091
1140,.stericx/kraken_dft_cache/1140/50682.sdf,29,29,P,4,C C C,6.0064,3.0839,7.0307,34.8659,62.6172,12.5707,18.7901,5.7319,2.5643,0.8675,25.5061
1141,.stericx/kraken_dft_cache/1141/50711.sdf,5,5,P,22,C C C,6.3533,2.7383,6.6203,44.7404,80.3512,9.6091,34.4549,23.5030,17.9618,0.9105,20.4613
1142,.stericx/kraken_dft_cache/1142/50716.sdf,17,17,P,30,C C C,6.5104,3.1801,7.3529,57.1769,102.6866,10.6384,43.7577,28.9478,27.2166,0.9000,21.7384
1143,.stericx/kraken_dft_cache/1143/50733.sdf,15,15,P,15,N N C,5.3041,3.0964,7.1949,43.6713,78.4311,11.5067,31.0242,18.0597,3.9397,0.9196,19.1922
1144,.stericx/kraken_dft_cache/1144/50748.sdf,35,35,P,2,C C C,6.9463,3.0791,7.3013,44.0958,79.1936,10.5433,33.6670,20.4941,3.6600,0.9320,17.7904
1145,.stericx/kraken_dft_cache/1145/50783.sdf,31,31,P,2,C C C,5.7352,3.4872,7.6080,42.4241,76.1914,12.2692,28.2363,15.6261,6.1893,0.9398,16.6096
1146,.stericx/kraken_dft_cache/1146/50814.sdf,34,34,P,6,C C C,6.3872,3.2450,7.0947,41.1933,73.9808,12.6364,27.1813,13.7348,3.1821,0.9312,17.9702
1147,.stericx/kraken_dft_cache/1147/50848.sdf,25,25,P,14,C C C,9.1844,3.5746,7.4037,41.8435,75.1485,11.9324,30.0671,17.6275,5.3967,0.9284,18.0311
1148,.stericx/kraken_dft_cache/1148/50873.sdf,23,23,P,6,C C C,9.1510,3.8013,7.1779,48.5496,87.1923,13.4742,35.5237,20.1749,4.6507,0.9198,19.4237
