ligand,file,geometries,conformers,donor_element,donor_index,substituents,sterimol_l,sterimol_b1,sterimol_b5,percent_buried_volume,buried_volume,qvbur_min,qvbur_max,max_delta_qvbur,max_delta_qvbur_min,pyr_p,pyr_alpha
1826,.stericx/kraken_dft_cache/1826/62658.sdf,17,17,P,4,C C C,8.5116,3.3107,8.5278,36.7597,66.0184,11.1472,22.1092,9.9973,2.8790,0.9363,17.4432
1827,.stericx/kraken_dft_cache/1827/62675.sdf,4,4,P,3,C C C,8.5197,2.9825,8.5330,30.7730,55.2665,10.6156,15.7267,5.0062,2.0165,0.9435,16.3789
1828,.stericx/kraken_dft_cache/1828/62679.sdf,7,7,P,8,C C C,6.9669,3.0701,6.8190,38.9195,69.8972,14.6248,19.8300,4.4809,2.8907,0.9130,20.5796
1829,.stericx/kraken_dft_cache/1829/62686.sdf,27,27,P,8,C C C,9.4621,2.7393,9.9770,28.5405,51.2571,10.4821,15.1544,4.1577,1.8183,0.9446,16.1261
183,.stericx/kraken_dft_cache/183/35111.sdf,38,38,P,30,C C C,10.2381,5.6910,11.9717,28.8225,51.7636,10.7826,15.2729,4.2406,2.7158,0.9379,17.1415
1830,.stericx/kraken_dft_cache/1830/62713.sdf,7,7,P,6,C C C,6.0257,2.4375,6.1338,30.8096,55.3323,10.3122,16.0835,5.7147,2.0281,0.9362,17.4674
1831,.stericx/kraken_dft_cache/1831/62720.sdf,12,12,P,3,C C C,4.7592,2.7707,5.0974,27.3375,49.0967,10.6195,14.5951,3.4948,0.7460,0.9365,17.4093
1832,.stericx/kraken_dft_cache/1832/62732.sdf,8,8,P,6,C C C,9.2682,2.7715,9.3873,28.2297,50.6989,11.4767,13.9172,1.3594,1.2588,0.9330,17.9529
1833,.stericx/kraken_dft_cache/1833/62740.sdf,27,27,P,6,C C C,9.3037,2.7108,9.2956,28.2996,50.8245,11.2808,14.2293,2.2064,1.9465,0.9321,18.0695
1834,.stericx/kraken_dft_cache/1834/62767.sdf,27,27,P,8,O O O,7.6676,2.1293,8.7852,30.0025,53.8827,9.5134,16.9205,6.6823,2.2729,0.9649,12.2329
1835,.stericx/kraken_dft_cache/1835/62794.sdf,2,2,P,6,C C C,6.4793,2.7514,6.5919,22.6895,40.7491,9.7560,10.6185,0.8625,0.8625,0.9410,16.7814
1836,.stericx/kraken_dft_cache/1836/62796.sdf,35,35,P,5,C C C,6.2963,3.4251,7.2880,48.0077,86.2191,13.2311,29.6590,15.6479,1.2938,0.9507,15.1235
1837,.stericx/kraken_dft_cache/1837/62831.sdf,49,49,P,13,C C C,6.8963,3.8605,7.8526,52.1894,93.7293,17.6394,29.7759,11.1397,1.8183,0.9723,11.0459
1838,.stericx/kraken_dft_cache/1838/62880.sdf,38,38,P,6,C C C,7.1224,2.8266,7.8283,34.3098,61.6184,10.0750,22.4864,11.6535,0.8858,0.9515,14.6418
1839,.stericx/kraken_dft_cache/1839/62918.sdf,63,63,P,7,N N N,6.4980,3.4574,6.9356,40.8134,73.2985,13.1558,23.9762,9.6008,3.8698,0.9165,19.2375
184,.stericx/kraken_dft_cache/184/35149.sdf,38,38,P,20,C C C,9.4241,4.3163,10.1979,29.3349,52.6838,11.0216,16.0112,4.7706,1.8766,0.9392,16.9149
1840,.stericx/kraken_dft_cache/1840/62981.sdf,34,34,P,5,C C C,6.6274,2.4166,6.8647,24.4957,43.9929,10.1108,12.0467,1.3764,0.8975,0.9735,10.8645
1841,.stericx/kraken_dft_cache/1841/63015.sdf,32,32,P,8,O O O,7.1859,2.8350,7.8579,30.7144,55.1613,9.5615,18.2961,7.8674,2.2263,0.9574,13.4724
1842,.stericx/kraken_dft_cache/1842/63047.sdf,43,43,P,4,S S S,4.9564,2.8996,6.3137,43.4007,77.9453,12.4729,26.9894,13.5932,2.0748,0.9286,18.0383
1843,.stericx/kraken_dft_cache/1843/63090.sdf,48,48,P,7,C C C,7.3207,3.0523,8.5108,35.3977,63.5723,10.1933,22.8031,11.6880,0.9441,0.9531,14.4768
185,.stericx/kraken_dft_cache/185/35187.sdf,35,35,P,2,C C C,9.0548,3.1509,9.0551,28.7480,51.6297,10.6582,15.0568,4.0543,2.3662,0.9289,18.4964
