split_id,stratum,status,top1_recovery,top2_recall,rank_of_best,spearman_rho,ndcg,mae_kcal_mol,rmse_kcal_mol,candidate_mean_ddg,selected_top1_ddg,selected_top2_mean_ddg,top1_gain_over_panel_mean,top2_gain_over_panel_mean,top1_outcome_enrichment,top2_outcome_enrichment
S001,three_singleton_scaffolds,success,1.0,0.5,1,0.5,0.9967106138015512,0.8154017306822685,0.9460862626166505,0.7708120026666667,2.143755427,1.0999610595,1.3729434243333332,0.3291490568333333,2.7811650825150096,1.4270159983168709
S002,three_singleton_scaffolds,success,0.0,0.5,3,-1.0,0.56147250248705,0.8926540076449787,1.06556824831573,0.44409140966666666,0.056166692,0.0843402905,-0.38792471766666664,-0.3597511191666667,0.12647552007853183,0.18991650967377527
S003,three_singleton_scaffolds,success,0.0,0.5,3,-1.0,0.6753741075015125,0.7037161739765811,0.968096576740082,0.170733667,0.056166692,0.0843402905,-0.11456697500000002,-0.08639337650000001,0.3289725628630702,0.49398746001279287
S004,three_singleton_scaffolds,success,0.0,0.5,3,-1.0,0.7189728537384489,0.8575495540283046,0.9881884980004206,0.14135946,0.056166692,0.0843402905,-0.085192768,-0.057019169499999994,0.397332389356892,0.596637045019838
S005,three_singleton_scaffolds,success,0.0,0.5,3,-0.5,0.8033670558402568,1.2381824977751859,1.3691985925408374,0.06558422866666667,0.056166692,0.0421193985,-0.009417536666666677,-0.023464830166666673,0.8564054673184994,0.6422184015317585
S006,three_singleton_scaffolds,success,0.0,0.5,3,-1.0,0.6374980526638244,0.6736479726381127,0.9635551783490822,0.21137337866666664,0.056166692,0.0843402905,-0.15520668666666665,-0.12703308816666664,0.26572263903002763,0.39901093993962056
S007,three_singleton_scaffolds,success,1.0,0.5,1,0.5,0.9501046436650924,0.9932828976203373,1.0551594384891558,1.1211719223333334,2.143755427,1.0999610595,1.0225835046666665,-0.0212108628333334,1.9120666369690305,0.9810815251338169
S008,three_singleton_scaffolds,success,1.0,0.5,1,0.5,0.9842487103736361,0.7035348369816035,0.922166271382963,0.8478141796666666,2.143755427,1.0999610595,1.2959412473333334,0.2521468798333334,2.5285675545587782,1.2974081890591516
S009,three_singleton_scaffolds,success,1.0,0.5,1,0.5,0.9888188861294387,0.7531609944956502,0.9277103392154114,0.8184399726666666,2.143755427,1.0999610595,1.3253154543333334,0.28152108683333343,2.6193190687096446,1.3439727973159383
S010,three_singleton_scaffolds,success,1.0,1.0,1,1.0,1.0,0.8382729683269458,0.9545748845537568,0.7426647413333334,2.143755427,1.0999610595,1.4010906856666665,0.3572963181666666,2.886572241400927,1.4811004189120374
S011,three_singleton_scaffolds,success,1.0,0.5,1,0.5,0.9782656544017281,0.7296203122753201,0.924122384871989,0.8884538913333334,2.143755427,1.0999610595,1.2553015356666664,0.2115071681666666,2.412905664449049,1.2380620651559648
S012,three_singleton_scaffolds,success,0.0,0.5,2,-0.5,0.6830893375290105,0.9053167231803858,1.0832331331815217,0.5210935866666666,0.056166692,0.6098801699999999,-0.4649268946666666,0.08878658333333334,0.10778618934707544,1.1703851008823265
S013,three_singleton_scaffolds,success,0.0,0.5,2,-0.5,0.678593452466299,0.8385185917212242,1.0689841728787448,0.4917193796666666,0.056166692,0.6098801699999999,-0.4355526876666666,0.11816079033333332,0.11422509325964544,1.2403012677951268
S014,three_singleton_scaffolds,success,0.0,1.0,2,0.5,0.6630702503961998,0.9079903978843364,1.0658374587273567,0.41594414833333326,0.056166692,0.6098801699999999,-0.35977745633333325,0.19393602166666668,0.13503421607217467,1.4662549586134541
S015,three_singleton_scaffolds,success,0.0,0.5,2,-0.5,0.6887545108107215,0.955499178546508,1.0989467526295031,0.5617332983333333,0.056166692,0.6098801699999999,-0.5055666063333333,0.048146871666666646,0.099988183300949,1.0857112651315468
S016,three_singleton_scaffolds,success,0.0,0.5,3,-1.0,0.7303067749010753,0.6245740070551412,0.9466809094857062,0.218361637,0.056166692,0.1557822455,-0.162194945,-0.0625793915,0.25721867985446545,0.7134139844353704
S017,three_singleton_scaffolds,success,0.0,0.5,3,-0.5,0.6250441731328101,0.730901666926083,0.9768887051018738,0.14258640566666667,0.056166692,0.0421193985,-0.08641971366666668,-0.10046700716666666,0.39391337299927776,0.29539561154564203
S018,three_singleton_scaffolds,success,0.0,0.5,2,-0.5,0.734359885054451,2.8189704938819666,2.83568747775111,0.28837555566666667,0.056166692,0.2608031235,-0.23220886366666668,-0.02757243216666666,0.1947692545235113,0.9043870687897776
S019,three_singleton_scaffolds,success,0.0,1.0,2,0.5,0.7588151960091277,0.7937637613322787,0.9926420360112649,0.11321219866666667,0.056166692,0.1557822455,-0.05704550666666667,0.04257004683333333,0.49611872803012075,1.3760199637026158
S020,three_singleton_scaffolds,success,0.0,0.5,3,-1.0,0.6874161734938421,0.6204594642488326,0.9456280935404542,0.2590013486666667,0.056166692,0.1557822455,-0.2028346566666667,-0.10321910316666669,0.21685868544370485,0.6014727193582721
S021,three_singleton_scaffolds,success,0.0,0.5,3,-0.5,0.595436682110271,0.6898367518138079,0.9709935471479719,0.18322611733333335,0.056166692,0.0421193985,-0.12705942533333336,-0.14110671883333337,0.306543045377199,0.22987660882086183
S022,three_singleton_scaffolds,success,0.0,0.5,2,-0.5,0.697600347101879,1.3311445215431499,1.3317179261730745,1.1399543213333334,0.112513889,1.128134658,-1.0274404323333335,-0.011819663333333397,0.09870034868449776,0.9896314588118683
S023,three_singleton_scaffolds,success,0.0,0.5,2,-0.5,0.6772870325689464,0.9385690690369796,1.1303372907841613,0.8665965786666666,0.112513889,1.128134658,-0.7540826896666666,0.2615380793333334,0.12983421786999472,1.301799113649551
S024,three_singleton_scaffolds,success,0.0,0.5,2,-0.5,0.6745744970415766,0.9700553490104525,1.1083392294437453,0.8372223716666666,0.112513889,1.128134658,-0.7247084826666665,0.29091228633333344,0.13438949173804032,1.3474731399666393
S025,three_singleton_scaffolds,success,0.0,1.0,2,0.5,0.6636407052810421,1.1666688115237265,1.1957074862670467,0.7614471403333334,0.112513889,1.128134658,-0.6489332513333333,0.36668751766666663,0.14776323009203973,1.4815666094775068
S026,three_singleton_scaffolds,success,0.0,0.5,2,-0.5,0.6808404336186753,0.9864728329584955,1.1294936018984023,0.9072362903333334,0.112513889,1.128134658,-0.7947224013333334,0.2208983676666666,0.12401828520181944,1.2434849333303288
S027,three_singleton_scaffolds,success,0.0,0.5,2,-0.5,0.7089158906053415,0.9343344211747887,1.0823233384230193,0.5398759856666666,0.112513889,0.6380537685,-0.4273620966666666,0.09817778283333334,0.20840691563834252,1.1818524724934716
S028,three_singleton_scaffolds,success,0.0,0.5,3,-1.0,0.619446637308511,0.8262263336882932,1.010695813534823,0.5105017786666667,0.112513889,0.18395584399999998,-0.39798788966666665,-0.3265459346666667,0.2203986228879845,0.36034319896094696
S029,three_singleton_scaffolds,success,0.0,0.5,3,-0.5,0.5702482301564785,1.0376770353992613,1.102883419635942,0.4347265473333333,0.112513889,0.070292997,-0.32221265833333335,-0.36443355033333336,0.25881531664025165,0.16169474220331373
S030,three_singleton_scaffolds,success,0.0,0.5,2,-0.5,0.713163003448998,0.9716933808268045,1.0805796992401873,0.5805156973333333,0.112513889,0.6380537685,-0.46800180833333327,0.05753807116666665,0.19381713451823215,1.0991154441317859
S031,three_singleton_scaffolds,success,0.0,0.5,3,-1.0,0.794080785950339,0.588028540637442,0.941117973386253,0.23714403599999997,0.112513889,0.18395584399999998,-0.12463014699999997,-0.053188191999999995,0.4744537998838816,0.7757135583203113
S032,three_singleton_scaffolds,success,0.0,0.5,3,-0.5,0.7046768557326379,0.8288717768911611,1.0481179414845614,0.16136880466666667,0.112513889,0.070292997,-0.048854915666666665,-0.09107580766666667,0.6972468392042416,0.4356046210121066
S033,three_singleton_scaffolds,success,0.0,0.5,3,-1.0,0.7610309223019988,0.8407130281792536,1.0228014918821635,0.3071579546666667,0.112513889,0.22801715449999999,-0.19464406566666667,-0.07914080016666669,0.3663062840814333,0.742344943491528
