split_id,stratum,permutation,ranking,top1_recovery,top2_recall,rank_of_best,spearman_rho,ndcg,candidate_mean_ddg,selected_top1_ddg,selected_top2_mean_ddg,top1_gain_over_panel_mean,top2_gain_over_panel_mean,top1_outcome_enrichment,top2_outcome_enrichment
S004,three_singleton_scaffolds,3,SIG-NIHDA-498|SIG-NIHDA-401|SIG-NIHDA-2063,0.0,0.5,3,-0.5,0.7776410143947117,0.14135946,0.112513889,0.0843402905,-0.028845570999999987,-0.057019169499999994,0.7959417006827842,0.596637045019838
S004,three_singleton_scaffolds,4,SIG-NIHDA-498|SIG-NIHDA-2063|SIG-NIHDA-401,0.0,1.0,2,0.5,0.8512306444085411,0.14135946,0.112513889,0.18395584399999998,-0.028845570999999987,0.04259638399999999,0.7959417006827842,1.301333805321554
S004,three_singleton_scaffolds,5,SIG-NIHDA-2063|SIG-NIHDA-401|SIG-NIHDA-498,1.0,0.5,1,0.5,0.9791871387857802,0.14135946,0.255397799,0.1557822455,0.11403833899999999,0.014422785500000007,1.806725909960324,1.1020291496586079
S004,three_singleton_scaffolds,6,SIG-NIHDA-2063|SIG-NIHDA-498|SIG-NIHDA-401,1.0,1.0,1,1.0,1.0,0.14135946,0.255397799,0.18395584399999998,0.11403833899999999,0.04259638399999999,1.806725909960324,1.301333805321554
S005,three_singleton_scaffolds,1,SIG-NIHDA-401|SIG-NIHDA-498|SIG-NIHDA-2064,0.0,1.0,2,0.5,0.8716190129575261,0.06558422866666667,0.056166692,0.0843402905,-0.009417536666666677,0.018756061833333323,0.8564054673184994,1.285984332127491
S005,three_singleton_scaffolds,2,SIG-NIHDA-401|SIG-NIHDA-2064|SIG-NIHDA-498,0.0,0.5,3,-0.5,0.8033670558402568,0.06558422866666667,0.056166692,0.0421193985,-0.009417536666666677,-0.023464830166666673,0.8564054673184994,0.6422184015317585
S005,three_singleton_scaffolds,3,SIG-NIHDA-498|SIG-NIHDA-401|SIG-NIHDA-2064,1.0,1.0,1,1.0,1.0,0.06558422866666667,0.112513889,0.0843402905,0.04692966033333333,0.018756061833333323,1.7155631969364828,1.285984332127491
S005,three_singleton_scaffolds,4,SIG-NIHDA-498|SIG-NIHDA-2064|SIG-NIHDA-401,1.0,0.5,1,0.5,0.9772919228334708,0.06558422866666666,0.112513889,0.070292997,0.046929660333333345,0.004708768333333335,1.7155631969364833,1.0717972663407502
S005,three_singleton_scaffolds,5,SIG-NIHDA-2064|SIG-NIHDA-401|SIG-NIHDA-498,0.0,0.5,3,-1.0,0.7393565814663381,0.06558422866666667,0.028072105,0.0421193985,-0.037512123666666675,-0.023464830166666673,0.42803133574501745,0.6422184015317585
S005,three_singleton_scaffolds,6,SIG-NIHDA-2064|SIG-NIHDA-498|SIG-NIHDA-401,0.0,0.5,2,-0.5,0.7849004614170781,0.06558422866666666,0.028072105,0.070292997,-0.03751212366666666,0.004708768333333335,0.4280313357450175,1.0717972663407502
S006,three_singleton_scaffolds,1,SIG-NIHDA-401|SIG-NIHDA-498|SIG-NIHDA-2067,0.0,0.5,3,-1.0,0.6374980526638244,0.21137337866666664,0.056166692,0.0843402905,-0.15520668666666665,-0.12703308816666664,0.26572263903002763,0.39901093993962056
S006,three_singleton_scaffolds,2,SIG-NIHDA-401|SIG-NIHDA-2067|SIG-NIHDA-498,0.0,0.5,2,-0.5,0.7193537633457924,0.2113733786666667,0.056166692,0.2608031235,-0.1552066866666667,0.04942974483333332,0.2657226390300275,1.2338503795753932
S006,three_singleton_scaffolds,3,SIG-NIHDA-498|SIG-NIHDA-401|SIG-NIHDA-2067,0.0,0.5,3,-0.5,0.6743371297726236,0.21137337866666664,0.112513889,0.0843402905,-0.09885948966666663,-0.12703308816666664,0.5322992408492135,0.39901093993962056
S006,three_singleton_scaffolds,4,SIG-NIHDA-498|SIG-NIHDA-2067|SIG-NIHDA-401,0.0,1.0,2,0.5,0.7692617110404215,0.2113733786666667,0.112513889,0.288976722,-0.09885948966666669,0.07760334333333332,0.5322992408492134,1.367138680484986
S006,three_singleton_scaffolds,5,SIG-NIHDA-2067|SIG-NIHDA-401|SIG-NIHDA-498,1.0,0.5,1,0.5,0.9869311294141699,0.2113733786666667,0.465439555,0.2608031235,0.2540661763333333,0.04942974483333332,2.2019781201207587,1.2338503795753932
S006,three_singleton_scaffolds,6,SIG-NIHDA-2067|SIG-NIHDA-498|SIG-NIHDA-401,1.0,1.0,1,1.0,1.0,0.2113733786666667,0.465439555,0.288976722,0.2540661763333333,0.07760334333333332,2.2019781201207587,1.367138680484986
S007,three_singleton_scaffolds,1,SIG-NIHDA-401|SIG-NIHDA-724|SIG-NIHDA-785,0.0,0.5,2,-0.5,0.6849735477129404,1.1211719223333334,0.056166692,1.0999610595,-1.0650052303333335,-0.0212108628333334,0.05009641329860309,0.9810815251338169
S007,three_singleton_scaffolds,2,SIG-NIHDA-401|SIG-NIHDA-785|SIG-NIHDA-724,0.0,0.5,3,-1.0,0.6408121509146291,1.1211719223333334,0.056166692,0.6098801699999999,-1.0650052303333335,-0.5112917523333335,0.05009641329860309,0.5439666815154846
S007,three_singleton_scaffolds,3,SIG-NIHDA-724|SIG-NIHDA-401|SIG-NIHDA-785,1.0,0.5,1,0.5,0.9501046436650924,1.1211719223333334,2.143755427,1.0999610595,1.0225835046666665,-0.0212108628333334,1.9120666369690305,0.9810815251338169
S007,three_singleton_scaffolds,4,SIG-NIHDA-724|SIG-NIHDA-785|SIG-NIHDA-401,1.0,1.0,1,1.0,1.0,1.1211719223333334,2.143755427,1.6536745375,1.0225835046666665,0.5325026151666665,1.9120666369690305,1.4749517933506984
S007,three_singleton_scaffolds,5,SIG-NIHDA-785|SIG-NIHDA-401|SIG-NIHDA-724,0.0,0.5,3,-0.5,0.7814592609553124,1.1211719223333334,1.163593648,0.6098801699999999,0.042421725666666577,-0.5112917523333335,1.037836949732366,0.5439666815154846
S007,three_singleton_scaffolds,6,SIG-NIHDA-785|SIG-NIHDA-724|SIG-NIHDA-401,0.0,1.0,2,0.5,0.8755160140885313,1.1211719223333334,1.163593648,1.6536745375,0.042421725666666577,0.5325026151666665,1.037836949732366,1.4749517933506984
S008,three_singleton_scaffolds,1,SIG-NIHDA-401|SIG-NIHDA-724|SIG-NIHDA-2062,0.0,0.5,2,-0.5,0.661685442477243,0.8478141796666666,0.056166692,1.0999610595,-0.7916474876666666,0.2521468798333334,0.0662488235595245,1.2974081890591516
S008,three_singleton_scaffolds,2,SIG-NIHDA-401|SIG-NIHDA-2062|SIG-NIHDA-724,0.0,0.5,3,-1.0,0.5630055917297492,0.8478141796666666,0.056166692,0.199843556,-0.7916474876666666,-0.6479706236666666,0.0662488235595245,0.23571622272061088
S008,three_singleton_scaffolds,3,SIG-NIHDA-724|SIG-NIHDA-401|SIG-NIHDA-2062,1.0,0.5,1,0.5,0.9842487103736361,0.8478141796666666,2.143755427,1.0999610595,1.2959412473333334,0.2521468798333334,2.5285675545587782,1.2974081890591516
S008,three_singleton_scaffolds,4,SIG-NIHDA-724|SIG-NIHDA-2062|SIG-NIHDA-401,1.0,1.0,1,1.0,1.0,0.8478141796666666,2.143755427,1.2436379235,1.2959412473333334,0.3958237438333333,2.5285675545587782,1.4668755882202378
S008,three_singleton_scaffolds,5,SIG-NIHDA-2062|SIG-NIHDA-401|SIG-NIHDA-724,0.0,0.5,3,-0.5,0.6074059834313701,0.8478141796666666,0.34352042,0.199843556,-0.5042937596666666,-0.6479706236666666,0.40518362188169726,0.23571622272061088
S008,three_singleton_scaffolds,6,SIG-NIHDA-2062|SIG-NIHDA-724|SIG-NIHDA-401,0.0,1.0,2,0.5,0.7218371238052277,0.8478141796666666,0.34352042,1.2436379235,-0.5042937596666666,0.3958237438333333,0.40518362188169726,1.4668755882202378
S009,three_singleton_scaffolds,1,SIG-NIHDA-401|SIG-NIHDA-724|SIG-NIHDA-2063,0.0,0.5,2,-0.5,0.6585683347567345,0.8184399726666666,0.056166692,1.0999610595,-0.7622732806666666,0.28152108683333343,0.06862652592223219,1.3439727973159383
S009,three_singleton_scaffolds,2,SIG-NIHDA-401|SIG-NIHDA-2063|SIG-NIHDA-724,0.0,0.5,3,-1.0,0.552591201040307,0.8184399726666666,0.056166692,0.1557822455,-0.7622732806666666,-0.6626577271666666,0.06862652592223219,0.19034046564517793
S009,three_singleton_scaffolds,3,SIG-NIHDA-724|SIG-NIHDA-401|SIG-NIHDA-2063,1.0,0.5,1,0.5,0.9888188861294387,0.8184399726666666,2.143755427,1.0999610595,1.3253154543333334,0.28152108683333343,2.6193190687096446,1.3439727973159383
S009,three_singleton_scaffolds,4,SIG-NIHDA-724|SIG-NIHDA-2063|SIG-NIHDA-401,1.0,1.0,1,1.0,1.0,0.8184399726666666,2.143755427,1.1995766129999998,1.3253154543333334,0.3811366403333333,2.6193190687096446,1.465686737038884
S009,three_singleton_scaffolds,5,SIG-NIHDA-2063|SIG-NIHDA-401|SIG-NIHDA-724,0.0,0.5,3,-0.5,0.5841089908397159,0.8184399726666666,0.255397799,0.1557822455,-0.5630421736666666,-0.6626577271666666,0.3120544053681236,0.19034046564517793
