Reaction_ID,vbur_boltz,vbur_min,vbur_max,vbur_delta,qvbur_min_boltz,qvbur_max_boltz,max_delta_qvbur_boltz,max_delta_qvbur_min,max_delta_qvbur_max,max_delta_qvbur_delta,max_delta_qvbur_vburminconf,near_vbur_boltz,far_vbur_boltz,conformer_count,sphere_radius,grid_density,Source_ID,Official_Kraken_max_delta_qvbur_min
SIG-NIHDA-401,48.10527039,47.34633636,50.09713364,2.750797272,10.70768833,13.86002541,3.152056456,2.249592781,5.932862282,3.683269501,2.587613106,48.10527039,0,85,3.5,0.009999999776,401,2.396167563
SIG-NIHDA-498,56.27759552,56.26311493,56.30973816,0.04662322998,11.00318623,19.73726273,8.505988121,7.413164139,8.998368263,1.585204124,8.998368263,55.27527618,1.002319336,2,3.5,0.009999999776,498,5.581993141
SIG-NIHDA-723,89.40125275,89.40088654,91.25418091,1.853294373,11.70253468,39.66521835,25.77133942,25.33996201,26.63376999,1.293807983,25.7712307,65.26148224,24.13977242,5,3.5,0.009999999776,723,19.68183379
SIG-NIHDA-724,88.79705811,88.79477692,92.30321503,3.50843811,11.69030857,40.37697601,28.60391808,28.60362244,29.05820084,0.4545783997,28.60362244,64.15481567,24.64224625,2,3.5,0.009999999776,724,27.06487474
SIG-NIHDA-785,52.01021576,51.09954071,53.09270477,1.993164062,10.80885124,15.68364239,4.798827171,4.021290779,5.72305584,1.70176506,4.021290779,52.01021576,0,2,3.5,0.009999999776,785,6.719937405
SIG-NIHDA-1057,95.31053925,81.97606659,96.91895294,14.94288635,13.77730179,39.97983551,20.66604233,14.67480087,22.75234985,8.077548981,14.67480087,70.46002197,24.85051727,4,3.5,0.009999999776,1057,16.5828183
SIG-NIHDA-1058,103.9710236,98.88880157,108.5515594,9.662757874,15.74015236,40.43834686,21.25961304,20.40951347,24.20933914,3.799825668,22.56585503,75.77078247,28.20024681,9,3.5,0.009999999776,1058,15.53168412
SIG-NIHDA-2062,74.07325745,63.27997589,115.824852,52.5448761,11.71389198,26.64875603,14.21802235,6.865335464,31.34276199,24.47742653,8.2407341,67.4723587,6.600850582,107,3.5,0.009999999776,2062,6.923889
SIG-NIHDA-2063,58.44189835,50.70324326,63.37322235,12.6699791,11.08245754,19.95715332,8.63965416,4.126194,12.06387329,7.937679291,4.126194,57.694561,0.747343421,9,3.5,0.009999999776,2063,6.195939
SIG-NIHDA-2064,60.70779037,53.19760513,63.31494141,10.11733627,10.47861862,23.53661919,13.05099773,3.846453667,14.91957378,11.07312012,6.014452934,57.45516968,3.252621889,16,3.5,0.009999999776,2064,6.464737
SIG-NIHDA-2067,76.38744354,58.08143616,104.4836502,46.40221405,11.50408554,29.37703705,16.52960396,7.646282196,30.18882561,22.54254341,7.646282196,66.85995483,9.52750206,81,3.5,0.009999999776,2067,9.840917
