Reaction_ID,Conformer_Index,Conformer_XYZ_Path,Boltzmann_Weight,vbur,percent_vbur,qvbur_min,qvbur_max,max_delta_qvbur,ovbur_min,ovbur_max,near_vbur,far_vbur,Coordination_Center_Method,Coordination_Center_X,Coordination_Center_Y,Coordination_Center_Z
SIG-NIHDA-401,33,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_033.xyz,0.0026999728,47.800915,26.616041,10.863315,13.311057,2.4477425,0.0,13.311057,47.80092,0.0,crest212_xtb640_lmo_kraken,4.2375,1.7480402,-2.383906
SIG-NIHDA-401,34,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_034.xyz,0.005449945,47.70767,26.564121,10.863315,13.299401,2.4360867,0.0,13.299401,47.70767,0.0,crest212_xtb640_lmo_kraken,4.358643,1.5321423,-2.3707936
SIG-NIHDA-401,35,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_035.xyz,0.0026999728,47.75429,26.590082,10.87497,13.299401,2.4244308,0.0,13.299401,47.754295,0.0,crest212_xtb640_lmo_kraken,4.2174416,1.1772761,-2.795406
SIG-NIHDA-401,36,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_036.xyz,0.0026899728,47.614426,26.512201,10.840003,13.264435,2.4244318,0.0,13.264435,47.614426,0.0,crest212_xtb640_lmo_kraken,4.3269825,1.5783304,-2.3943832
SIG-NIHDA-401,37,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_037.xyz,0.0026599732,47.882507,26.661474,10.87497,13.287745,2.412775,0.0,13.287745,47.882507,0.0,crest212_xtb640_lmo_kraken,4.184352,1.8084325,-2.3950634
SIG-NIHDA-401,38,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_038.xyz,0.0049999496,47.614426,26.512201,10.816691,13.311057,2.4943657,0.0,13.311057,47.614426,0.0,crest212_xtb640_lmo_kraken,4.2598085,1.0782226,-2.7837608
SIG-NIHDA-401,39,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_039.xyz,0.0047999513,47.66105,26.538164,10.770068,13.380994,2.6109257,0.0,13.380994,47.661045,0.0,crest212_xtb640_lmo_kraken,4.4295416,1.3620406,-2.360004
SIG-NIHDA-401,40,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_040.xyz,0.0024199756,47.637733,26.52518,10.805036,13.322714,2.5176783,0.0,13.322714,47.637733,0.0,crest212_xtb640_lmo_kraken,4.3403163,0.99843293,-2.7184522
SIG-NIHDA-401,41,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_041.xyz,0.004449955,47.626076,26.51869,10.840003,13.299401,2.4593983,0.0,13.299401,47.626076,0.0,crest212_xtb640_lmo_kraken,4.474341,0.94461364,-2.5743165
SIG-NIHDA-401,42,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_042.xyz,0.002179978,47.637733,26.52518,10.746756,13.450929,2.704173,0.0,13.450929,47.637733,0.0,crest212_xtb640_lmo_kraken,4.429901,0.74025166,-2.6219237
SIG-NIHDA-401,43,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_043.xyz,0.0072799264,47.474552,26.434319,10.746756,13.229466,2.4827108,0.0,13.229466,47.47455,0.0,crest212_xtb640_lmo_kraken,4.337192,3.0393505,-0.20123331
SIG-NIHDA-401,44,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_044.xyz,0.0069499295,47.474552,26.434319,10.7351,13.229466,2.4943666,0.0,13.229466,47.47455,0.0,crest212_xtb640_lmo_kraken,4.2469764,3.1194978,0.15377493
SIG-NIHDA-401,45,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_045.xyz,0.0017199826,47.49786,26.447298,10.758411,13.217811,2.4593992,0.0,13.217811,47.497864,0.0,crest212_xtb640_lmo_kraken,4.2026005,3.1579566,-0.015100368
SIG-NIHDA-401,46,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_046.xyz,0.0012399874,50.097134,27.8946,10.268863,16.13179,5.8629274,0.0,16.13179,50.097134,0.0,crest212_xtb640_lmo_kraken,4.626797,0.8345297,-2.3547065
SIG-NIHDA-401,47,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_047.xyz,0.0011599882,50.038853,27.862148,10.280519,16.061853,5.781335,0.0,16.061853,50.038853,0.0,crest212_xtb640_lmo_kraken,4.452364,0.9324811,-2.5706313
