Reaction_ID,Conformer_Index,Conformer_XYZ_Path,Boltzmann_Weight,vbur,percent_vbur,qvbur_min,qvbur_max,max_delta_qvbur,ovbur_min,ovbur_max,near_vbur,far_vbur
SIG-NIHDA-2063,3,conformers/SIG-NIHDA-2063_9978c6ba/conf_003.xyz,0.00066609436,52.358383,29.153688,10.828347,15.409122,4.5108395,0.0,15.409122,52.35838,0.0
SIG-NIHDA-2063,4,conformers/SIG-NIHDA-2063_9978c6ba/conf_004.xyz,0.00027289544,52.99946,29.510645,10.898283,15.688865,4.76727,0.0,15.688865,52.99946,0.0
SIG-NIHDA-2064,0,conformers/SIG-NIHDA-2064_f0ba08d0/conf_000.xyz,0.30377883,54.211674,30.18562,10.373767,17.553812,7.180045,0.0,17.507187,54.16505,0.046623673
SIG-NIHDA-2064,1,conformers/SIG-NIHDA-2064_f0ba08d0/conf_001.xyz,0.22720572,59.654987,33.21651,10.805036,22.344395,11.539359,0.0,19.850027,57.230553,2.4244308
SIG-NIHDA-2064,2,conformers/SIG-NIHDA-2064_f0ba08d0/conf_002.xyz,0.2272057,59.876446,33.33982,10.805036,22.344395,11.539359,0.0,19.850027,57.38208,2.4943664
SIG-NIHDA-2064,3,conformers/SIG-NIHDA-2064_f0ba08d0/conf_003.xyz,0.22720565,59.876446,33.33982,10.805036,22.344395,11.539359,0.0,19.850027,57.38208,2.4943664
SIG-NIHDA-2064,4,conformers/SIG-NIHDA-2064_f0ba08d0/conf_004.xyz,0.0027747224,55.645348,30.983902,10.886627,17.798586,6.9119587,0.0,17.798586,55.517136,0.12821509
SIG-NIHDA-2064,5,conformers/SIG-NIHDA-2064_f0ba08d0/conf_005.xyz,0.0027747224,55.63369,30.977413,10.886627,17.798586,6.9119587,0.0,17.798586,55.493824,0.139871
SIG-NIHDA-2064,6,conformers/SIG-NIHDA-2064_f0ba08d0/conf_006.xyz,0.0021679816,55.831844,31.087748,10.700132,18.509598,7.8094654,0.0,18.509598,55.79688,0.03496775
SIG-NIHDA-2064,7,conformers/SIG-NIHDA-2064_f0ba08d0/conf_007.xyz,0.002167981,55.761906,31.048803,10.700132,18.509598,7.8094654,0.0,18.509598,55.726944,0.03496775
SIG-NIHDA-2064,8,conformers/SIG-NIHDA-2064_f0ba08d0/conf_008.xyz,0.0021679807,55.773563,31.055296,10.700132,18.509598,7.8094654,0.0,18.509598,55.738594,0.03496775
SIG-NIHDA-2064,9,conformers/SIG-NIHDA-2064_f0ba08d0/conf_009.xyz,0.0021679795,55.831844,31.087748,10.700132,18.509598,7.8094654,0.0,18.509598,55.796883,0.03496775
SIG-NIHDA-2064,10,conformers/SIG-NIHDA-2064_f0ba08d0/conf_010.xyz,0.0001913726,54.712875,30.464693,10.641852,16.947704,5.6298084,0.0,16.912737,54.666252,0.046623673
SIG-NIHDA-2064,11,conformers/SIG-NIHDA-2064_f0ba08d0/conf_011.xyz,0.0001913725,54.666252,30.438732,10.641852,16.947704,5.6298084,0.0,16.912737,54.61963,0.046623673
SIG-NIHDA-2067,0,conformers/SIG-NIHDA-2067_1f828bfa/conf_000.xyz,0.29003906,81.69633,45.489357,11.352863,37.124096,23.055405,0.0,21.854845,64.07258,17.623747
SIG-NIHDA-2067,1,conformers/SIG-NIHDA-2067_1f828bfa/conf_001.xyz,0.29003906,81.69633,45.489357,11.352863,37.135754,23.055405,0.0,21.854845,64.07258,17.623747
SIG-NIHDA-2067,2,conformers/SIG-NIHDA-2067_1f828bfa/conf_002.xyz,0.15240905,80.05284,44.57425,10.79338,34.618076,23.824696,0.0,22.087963,64.025955,16.026886
SIG-NIHDA-2067,3,conformers/SIG-NIHDA-2067_1f828bfa/conf_003.xyz,0.15240839,80.05284,44.57425,10.79338,34.60642,23.813038,0.0,22.087963,64.025955,16.026886
SIG-NIHDA-2067,4,conformers/SIG-NIHDA-2067_1f828bfa/conf_004.xyz,0.1009921,76.42785,42.555813,10.909939,34.851192,22.460953,0.0,21.92478,63.163414,13.264434
SIG-NIHDA-2067,5,conformers/SIG-NIHDA-2067_1f828bfa/conf_005.xyz,0.0074391556,67.68591,37.688213,11.038154,26.61046,14.126973,0.0,21.4702,62.58062,5.105292
SIG-NIHDA-2067,6,conformers/SIG-NIHDA-2067_1f828bfa/conf_006.xyz,0.004322869,69.01469,38.42809,11.143057,27.344782,15.828735,0.0,22.029684,63.22169,5.7929907
SIG-NIHDA-2067,7,conformers/SIG-NIHDA-2067_1f828bfa/conf_007.xyz,0.0012317497,67.09146,37.357216,10.979875,24.698889,13.719014,0.0,20.700909,63.09348,3.9979796
SIG-NIHDA-2067,8,conformers/SIG-NIHDA-2067_1f828bfa/conf_008.xyz,0.00068654626,81.859505,45.58022,10.909939,30.888182,18.078327,0.0,22.309425,69.55086,12.308649
SIG-NIHDA-2067,9,conformers/SIG-NIHDA-2067_1f828bfa/conf_009.xyz,0.00025086204,61.799675,34.410694,11.166369,19.278887,8.112517,0.0,18.98749,61.49662,0.30305386
SIG-NIHDA-2067,10,conformers/SIG-NIHDA-2067_1f828bfa/conf_010.xyz,0.00018123201,81.39327,45.320614,10.956562,36.960915,26.004353,0.0,21.21377,63.513096,17.880178
