Reaction_ID,Conformer_Index,Conformer_XYZ_Path,Boltzmann_Weight,vbur,percent_vbur,qvbur_min,qvbur_max,max_delta_qvbur,ovbur_min,ovbur_max,near_vbur,far_vbur,Coordination_Center_Method,Coordination_Center_X,Coordination_Center_Y,Coordination_Center_Z
SIG-NIHDA-2062,0,conformers/SIG-NIHDA-2062_d86f6436/conf_000.xyz,0.9388779,68.25706,38.006233,11.725853,21.680006,6.3990993,0.0,19.267231,65.83263,2.4244308,xtb_lmo_kraken,-0.11240633,1.8770875,2.992319
SIG-NIHDA-2062,1,conformers/SIG-NIHDA-2062_d86f6436/conf_001.xyz,0.05621564,59.06053,32.885513,11.387832,20.444479,9.056647,0.0,19.628565,58.24462,0.8159142,xtb_lmo_kraken,1.1383784,0.29221058,4.0218377
SIG-NIHDA-2062,2,conformers/SIG-NIHDA-2062_d86f6436/conf_002.xyz,0.0042089624,73.0826,40.693146,12.238713,28.603622,15.444092,0.0,21.971405,65.844284,7.238325,xtb_lmo_kraken,0.80843896,1.1924163,-3.1173127
SIG-NIHDA-2062,3,conformers/SIG-NIHDA-2062_d86f6436/conf_003.xyz,0.0006975053,76.42785,42.555813,11.259617,30.923147,16.877766,0.0,22.192867,64.830215,11.597637,xtb_lmo_kraken,-0.87213784,1.2643794,-3.6380386
SIG-NIHDA-2063,0,conformers/SIG-NIHDA-2063_9978c6ba/conf_000.xyz,0.9977289,52.498253,29.231567,10.3387985,16.236692,5.897894,0.0,16.236692,52.498253,0.0,xtb_lmo_kraken,2.221019,3.4159997,-1.5984219
SIG-NIHDA-2063,1,conformers/SIG-NIHDA-2063_9978c6ba/conf_001.xyz,0.0006660966,51.88049,28.88759,11.24796,15.677209,4.184474,0.0,15.677209,51.88049,0.0,xtb_lmo_kraken,-2.1583562,-3.8449152,-0.7489369
SIG-NIHDA-2063,2,conformers/SIG-NIHDA-2063_9978c6ba/conf_002.xyz,0.0006660963,51.88049,28.88759,11.24796,15.677209,4.184474,0.0,15.677209,51.88049,0.0,xtb_lmo_kraken,1.8317678,1.8759142,-3.6320865
SIG-NIHDA-2063,3,conformers/SIG-NIHDA-2063_9978c6ba/conf_003.xyz,0.00066609436,51.88049,28.88759,11.24796,15.677209,4.184474,0.0,15.677209,51.88049,0.0,xtb_lmo_kraken,2.0114613,2.096228,3.4034023
SIG-NIHDA-2063,4,conformers/SIG-NIHDA-2063_9978c6ba/conf_004.xyz,0.00027289544,52.428314,29.192627,11.317896,15.863704,4.3360014,0.0,15.863704,52.428314,0.0,xtb_lmo_kraken,2.300379,-3.5367103,-1.3300925
SIG-NIHDA-2064,0,conformers/SIG-NIHDA-2064_f0ba08d0/conf_000.xyz,0.30377883,54.42148,30.30244,10.059057,17.78693,7.727873,0.0,17.658714,54.316574,0.10490325,xtb_lmo_kraken,1.78881,3.2408397,-2.2585034
SIG-NIHDA-2064,1,conformers/SIG-NIHDA-2064_f0ba08d0/conf_001.xyz,0.22720572,59.63167,33.20353,10.7351,21.98306,11.247961,0.0,19.55863,57.27718,2.3544955,xtb_lmo_kraken,1.4185065,-1.7690624,3.5264857
SIG-NIHDA-2064,2,conformers/SIG-NIHDA-2064_f0ba08d0/conf_002.xyz,0.2272057,59.596706,33.18406,10.7351,21.98306,11.247961,0.0,19.55863,57.172276,2.4244308,xtb_lmo_kraken,2.0968277,-1.7012762,-3.0231898
SIG-NIHDA-2064,3,conformers/SIG-NIHDA-2064_f0ba08d0/conf_003.xyz,0.22720565,59.596706,33.18406,10.7351,21.98306,11.247961,0.0,19.55863,57.172276,2.4244308,xtb_lmo_kraken,1.8461117,2.432989,2.802456
